约翰逊,余秀华,辞职,女大学生,家暴,南京,被家暴,英国首相,死刑,侵权,洪峤,一审,马斯克,被判,宣判,七七事变,妇联,英国,双胞胎,刘翔,局长,被告人,冰淇淋,被害案,女高管,新东方,遇害案,生下,洪某,印度,85周年,茅台,我不是药神,4岁男童,被压,驾车,判罚,炒至,鲍里斯,身亡,搜查,留任,男友,获赔,突击,曹泽青,张晨光
0.0,0.0024484,0.0,0.8292484,0.0028989,0.8275745,0.0,0.0,0.8326206,0.0154373,0.432171,0.4639668,0.0,0.9965278,0.5277778,0.0,0.0,0.0,0.0,0.0048808,0.0,0.3656083,0.0,0.3879353,0.0,0.0048417,0.8526133,0.0,0.8599737,0.0,0.0,0.0,0.0163784,0.0,0.0,0.0,0.0270833,0.0,0.0,0.0170967,0.0,0.0,0.4007228,0.0051844,0.0,0.420994,0.4188657
0.0,0.0058888,0.0,0.7675945,0.0,0.7662674,0.0,0.0,0.6842074,0.0,0.6917375,0.8337585,0.0,0.5277778,0.9955357,0.0,0.0,0.0,0.0,0.0,0.0,0.6974774,0.0,0.751048,0.0,0.0,0.35401,0.0,0.3685345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050099,0.0,0.0,0.0047702,0.0,0.0,0.4732143,0.0,0.0,0.7573627,0.7597884
0.0,0.0,0.0,0.0032335,0.0,0.0032275,0.0,0.0,0.0,0.0,0.0,0.0037087,0.0,0.0,0.0,0.9959839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043554,0.0,0.0,0.0,0.0,0.0,0.0,0.8202068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057394,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6575666,0.0,0.0,0.331099,0.0,0.7073084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9960784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1823129,0.0,0.0,0.0,0.0
0.6428231,0.0,0.6290219,0.0,0.0,0.0,0.0,0.527564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9954955,0.0,0.0,0.004389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495286,0.0,0.0,0.4841295,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.003556,0.0,0.0,0.0,0.0036878,0.0,0.0,0.9088605,0.0,0.0,0.0,0.0,0.0,0.9953271,0.0,0.0,0.0,0.0,0.0,0.8997351,0.0,0.0,0.8981217,0.0,0.0049406,0.0,0.0,0.0046949,0.0,0.0,0.0,0.0051142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6968808,0.0,0.1841227,0.0,0.0048808,0.0,0.0,0.0,0.0,0.0,0.9937107,0.0,0.0,0.0,0.0,0.0,0.9875386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9493819,0.0,0.0,0.0
0.0,0.0,0.0030296,0.0,0.0,0.0,0.0,0.0,0.003603,0.0034881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004389,0.0,0.0,0.9957265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9849961,0.9828498,0.9828317,0.0,0.0,0.0,0.8928912,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.6991938,0.0,0.6982075,0.0,0.0,0.6627919,0.0,0.8926777,0.6220802,0.0,0.3656083,0.6974774,0.0,0.0,0.0,0.0,0.0,0.0,0.9939759,0.0,0.6699333,0.0,0.0,0.2446364,0.0,0.2376921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057898,0.0,0.0,0.0,0.0,0.0,0.2308827,0.0,0.0,0.8294372,0.8327532
0.0,0.0,0.0,0.0,0.0,0.0032275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9959839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9071995,0.0,0.0,0.0,0.0,0.0,0.8222337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
