豆瓣,唐山,袁冰妍,公司,周杰伦,美图,养父,小树林,新专辑,开分,离婚,66万,董卿,世茂,买房车,女孩,强制执行,两人,被害,冲卡,10亿,报恩,偷漏税,炒币,违约,美元,集团,97万,浮亏,赶着,旅游,3亿,减值,净亏损
0.0,0.0,0.0,0.1486761,0.0,0.0062522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9872611,0.0,0.0,0.0,0.0,0.0,0.0,0.9936306,0.0,0.0,0.0063294,0.9326825,0.9780056,0.9522105,0.0,0.0064315,0.0,0.0,0.0507942,0.0,0.0
0.0,0.0047286,0.0,0.0035093,0.0,0.0,0.9485987,0.0,0.0,0.0,0.0,0.9485987,0.0,0.0,0.9485987,0.9228745,0.0,0.0,0.0,0.0,0.0,0.9948718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9167653,0.0,0.0,0.0
0.0,0.0,0.9148448,0.6093852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0108142,0.0,0.0,0.0,0.0121717,0.0,0.0,0.0,0.0,0.0,0.9937107,0.0,0.0,0.0,0.0,0.8418059,0.0,0.0,0.0061032,0.0,0.0,0.0
0.0,0.0,0.0,0.3067375,0.0,0.9815179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063294,0.0,0.0,0.9937107,0.0,0.018809,0.0,0.0,0.9778853,0.0,0.0,0.9400724,0.6415094,0.6793436
0.0,0.0,0.0,0.1598929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9326825,0.0,0.0,0.0,0.0,0.0,0.0,0.9326825,0.0,0.0,0.0,0.9927536,0.9245018,0.9017023,0.0,0.0,0.0,0.0,0.0407265,0.0,0.0
0.0,0.0,0.0,0.1546668,0.0,0.0185775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9780056,0.0,0.0,0.0,0.0,0.0,0.0,0.9780056,0.0,0.0,0.018809,0.9245018,0.99375,0.9429549,0.0,0.0191153,0.0,0.0,0.0628956,0.0,0.021875
0.0,0.0,0.0,0.1639579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0261051,0.9583537,0.0,0.0,0.0412983,0.0,0.0,0.0,0.9522105,0.0,0.0,0.0,0.9017023,0.9429549,0.9940828,0.0,0.0,0.0,0.0059172,0.042862,0.0,0.0
0.0,0.0,0.9095137,0.6360035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0108943,0.0,0.0,0.0,0.0122518,0.0,0.0,0.0,0.0,0.0,0.8418059,0.0,0.0,0.0,0.0,0.9936306,0.0,0.0,0.0061433,0.0,0.0,0.0
0.0,0.0,0.0,0.2934353,0.0,0.9660784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064315,0.0,0.0,0.9778853,0.0,0.0191153,0.0,0.0,0.9935065,0.0,0.0,0.9232287,0.5833129,0.6303774
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9876543,0.0,0.0,0.0,0.0,0.0105588,0.0,0.01076,0.0,0.9347751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9938272,0.0,0.0,0.0,0.0
0.0,0.0051231,0.0056041,0.0078075,0.0,0.0,0.8771708,0.0,0.0,0.0,0.0,0.8771708,0.0,0.0,0.8771708,0.8551593,0.0,0.0,0.0,0.0,0.0,0.9167653,0.0061032,0.0,0.0,0.0,0.0059172,0.0061433,0.0,0.0,0.9940828,0.0,0.0,0.0
0.0,0.0,0.0,0.3369984,0.0,0.9348062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0444449,0.0,0.0,0.0,0.0,0.0,0.0,0.0507942,0.0,0.0,0.9400724,0.0407265,0.0628956,0.042862,0.0,0.9232287,0.0,0.0,0.9936709,0.6425245,0.6805775
0.0,0.0,0.0,0.5397154,0.0,0.6500752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6415094,0.0,0.0,0.0,0.0,0.5833129,0.0,0.0,0.6425245,0.9811321,0.896816
0.0,0.0,0.0,0.5254608,0.0,0.685439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6793436,0.0,0.021875,0.0,0.0,0.6303774,0.0,0.0,0.6805775,0.896816,0.984375
