超生,全州,孩子,社会调剂,调剂,米老鼠,迪士尼,唐山,招聘,统一,抱走,茅台,周杰伦,小树林,女大学生,扎伤,被害案,宣判,市政府,一审,子女,上报,失去,全州县,最伟大的作品,版权,全县,版权保护,预约,蓝博,中同,开启,袁冰妍,中学校长,广西,检验,医学,藤县,批捕,南京
0.0060191,0.0061897,0.0094716,0.0074871,0.0040708,0.0,0.0,0.8716271,0.0,0.0070372,0.0,0.0,0.0,0.8885414,0.0,0.995283,0.0044505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059817,0.0059817,0.0,0.0,0.0,0.0046733,0.0059817,0.0177138,0.0,0.0063267,0.0
0.0027431,0.0028284,0.0057815,0.0034771,0.0,0.0,0.0,0.0155367,0.0,0.0032521,0.0,0.0,0.0,0.0039647,0.9916318,0.0044505,0.9958159,0.9299847,0.0,0.9833504,0.0077177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9775232
0.0029875,0.0030728,0.0062703,0.0037215,0.0,0.0,0.0,0.0123857,0.0,0.0034965,0.0,0.0,0.0,0.0,0.9344132,0.0,0.9299847,0.9953271,0.0,0.9395723,0.0082065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9218524
0.6066627,0.6213828,0.2538178,0.1856704,0.1675702,0.0,0.0,0.0037226,0.0,0.1823451,0.7711079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996139,0.0,0.8466786,0.8837342,0.0,0.3885708,0.0,0.0,0.1489704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1528314,0.0,0.0,0.0,0.0,0.0
0.0027257,0.0028111,0.0057468,0.0034597,0.0,0.0,0.0,0.0116004,0.0,0.0032348,0.0,0.0,0.0,0.0,0.9875171,0.0,0.9833504,0.9395723,0.0,0.9958506,0.0076829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9734086
0.6745735,0.6908726,0.2847712,0.236387,0.184393,0.0,0.0,0.0035589,0.0,0.2253695,0.8457414,0.0,0.0,0.0,0.0077177,0.0,0.0077177,0.0082065,0.8466786,0.0076829,0.9964664,0.9503513,0.0,0.3182158,0.0,0.0,0.1855817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1877536,0.0,0.0,0.0,0.0,0.0075986
0.6647211,0.686567,0.244238,0.1831812,0.1609456,0.0,0.0,0.0037376,0.0,0.1801258,0.8658706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8837342,0.0,0.9503513,0.9961089,0.0,0.2225813,0.0,0.0,0.1406882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1533722,0.0,0.0,0.0,0.0,0.0
0.0032552,0.0,0.0034029,0.0,0.0043165,0.9817299,0.9716346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9947917,0.0,0.0,0.9052083,0.0,0.7370866,0.0,0.0,0.0,0.0,0.0,0.0,0.004919,0.0,0.0,0.0,0.0,0.0
0.4643913,0.3779986,0.4633129,0.3991854,0.2320351,0.0,0.0,0.0,0.0,0.3670219,0.3574664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3885708,0.0,0.3182158,0.2225813,0.0,0.9915254,0.0,0.0,0.3544782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4586472,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0031461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9356691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9953052,0.0,0.0,0.0,0.8706531,0.0,0.0,0.9528514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.9016198,0.8931891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9052083,0.0,0.0,0.99375,0.0,0.6954897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6297105,0.6310968,0.6564399,0.69432,0.1290626,0.0,0.0,0.0,0.0,0.7330479,0.2177147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1489704,0.0,0.1855817,0.1406882,0.0,0.3544782,0.0,0.0,0.995098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2382898,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.7383818,0.7332805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7370866,0.0,0.0,0.6954897,0.0,0.9896907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0037927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8298609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8706531,0.0,0.0,0.0,0.994012,0.0,0.0,0.8689162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0042742,0.0043596,0.0044219,0.0050082,0.0,0.0,0.0,0.0054153,0.0,0.0047833,0.0,0.0,0.0,0.0054958,0.0,0.0059817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9927536,0.9927536,0.0,0.0,0.0,0.0,0.9927536,0.9821924,0.0,0.9489303,0.0
0.0042742,0.0043596,0.0044219,0.0050082,0.0,0.0,0.0,0.0054153,0.0,0.0047833,0.0,0.0,0.0,0.0054958,0.0,0.0059817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9927536,0.9927536,0.0,0.0,0.0,0.0,0.9927536,0.9821924,0.0,0.9489303,0.0
0.0,0.0,0.0031684,0.0,0.0,0.0,0.0,0.0,0.009369,0.0,0.0,0.008906,0.8960284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9528514,0.0,0.0,0.0,0.8689162,0.0,0.0,0.9952607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9897959,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.010157,0.0,0.0,0.0,0.0,0.0,0.3972809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9824561,0.5321637,0.0,0.0,0.8838673,0.0,0.0
0.4834346,0.2471465,0.5012794,0.2774892,0.4429858,0.0,0.0,0.0082139,0.0,0.37529,0.2851213,0.0,0.0,0.0,0.0,0.0046733,0.0,0.0,0.1528314,0.0,0.1877536,0.1533722,0.004919,0.4586472,0.0,0.0,0.2382898,0.0,0.0,0.0,0.0,0.0,0.0,0.5321637,0.9953704,0.0,0.0,0.5801127,0.0,0.0
0.0042742,0.0043596,0.0044219,0.0050082,0.0,0.0,0.0,0.0054153,0.0,0.0047833,0.0,0.0,0.0,0.0054958,0.0,0.0059817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9927536,0.9927536,0.0,0.0,0.0,0.0,0.9927536,0.9821924,0.0,0.9489303,0.0
0.0041971,0.0042825,0.0043448,0.0049311,0.0,0.0,0.0,0.0160146,0.0,0.0047062,0.0,0.0,0.0,0.0162563,0.0,0.0177138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9821924,0.9821924,0.0,0.0,0.0,0.0,0.9821924,0.9929078,0.0,0.9392942,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8838673,0.5801127,0.0,0.0,0.9782609,0.0,0.0
0.0046193,0.0047046,0.004767,0.0053533,0.0,0.0,0.0,0.0057604,0.0,0.0051283,0.0,0.0,0.0,0.0058409,0.0,0.0063267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9489303,0.9489303,0.0,0.0,0.0,0.0,0.9489303,0.9392942,0.0,0.9920635,0.0
0.0026836,0.0027689,0.0056625,0.0034176,0.0,0.0,0.0,0.0114739,0.0,0.0031926,0.0,0.0,0.0,0.0,0.9816478,0.0,0.9775232,0.9218524,0.0,0.9734086,0.0075986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995935
