斯里兰卡,发射,卫星,WPS,紧急状态,终止,总监,轨道,苹果,天链,中继,总理,本地文件,总统,雨衣男,3.5亿,删除,运载火箭,升空,长征三号,母女,西昌卫星发射中心,航天器,拉贾帕克萨,金融类,被骗,载人,飞船,将天,圆满成功,拖拽,宣布,李某,立案查处,地球,提供数据,谭谈交通,抗议者,预定
0.0,0.8052686,0.9209821,0.0,0.0,0.0,0.0,0.9674628,0.0,0.8107762,0.9336721,0.0,0.0,0.0,0.0,0.0,0.0,0.9906542,0.9765473,0.9859372,0.0,0.9812194,0.8801508,0.0,0.0,0.0,0.9238457,0.94317,0.9292603,0.9197989,0.0,0.0,0.0,0.0,0.8899065,0.8471549,0.0,0.0,0.9339892
0.0,0.8023006,0.9167955,0.0,0.0,0.0,0.0,0.9720475,0.0,0.8076392,0.928421,0.0,0.0,0.0,0.0,0.0,0.0,0.9765473,0.990566,0.9811321,0.0,0.9763252,0.8838979,0.0,0.0,0.0,0.9280777,0.9474462,0.9333601,0.9238105,0.0,0.0,0.0,0.0,0.8939623,0.8505493,0.0,0.0,0.9381331
0.0,0.8023006,0.9256109,0.0,0.0,0.0,0.0,0.9720475,0.0,0.8076392,0.9379923,0.0,0.0,0.0,0.0,0.0,0.0,0.9859372,0.9811321,0.990566,0.0,0.9858041,0.8838979,0.0,0.0,0.0,0.9280777,0.9474462,0.9333601,0.9238105,0.0,0.0,0.0,0.0,0.8939623,0.8505493,0.0,0.0,0.9381331
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9071677,0.0,0.0,0.0,0.0,0.0,0.9878049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9383652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.7993317,0.9214676,0.0,0.0,0.0,0.0,0.967328,0.0,0.8045006,0.9423948,0.0,0.0,0.0,0.0,0.0,0.0,0.9812194,0.9763252,0.9858041,0.0,0.9904762,0.8877165,0.0,0.0,0.0,0.9323904,0.9518038,0.9274569,0.9278986,0.0,0.0,0.0,0.0,0.8980952,0.8540084,0.0,0.0,0.9323308
0.0,0.7487041,0.8410954,0.0,0.0,0.0,0.0,0.897096,0.0,0.7595621,0.9061121,0.0,0.0,0.0,0.0,0.0,0.0,0.8801508,0.8838979,0.8838979,0.0,0.8877165,0.9886364,0.0,0.0,0.0,0.9143789,0.9229798,0.8360735,0.8559783,0.0,0.0,0.0,0.0,0.8652273,0.9368527,0.0,0.0,0.8427632
0.609995,0.0,0.0113447,0.0,0.4904183,0.0,0.0,0.0,0.0,0.0,0.0,0.5424242,0.0,0.7694056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9855072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5099823,0.0,0.0,0.0,0.0,0.0,0.0972075,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0270833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9185689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9852941,0.0,0.0,0.0,0.0,0.0,0.0,0.8048128,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.7716982,0.8958367,0.0,0.0,0.0,0.0,0.9292721,0.0,0.7919283,0.9706815,0.0,0.0,0.0,0.0,0.0,0.0,0.9238457,0.9280777,0.9280777,0.0,0.9323904,0.9143789,0.0,0.0,0.0,0.990099,0.970097,0.8729197,0.8931339,0.0,0.0,0.0,0.0,0.9154455,0.8798095,0.0,0.0,0.8783742
0.0,0.7814992,0.8965888,0.0,0.0,0.0,0.0,0.9486532,0.0,0.79373,0.9706777,0.0,0.0,0.0,0.0,0.0,0.0,0.94317,0.9474462,0.9474462,0.0,0.9518038,0.9229798,0.0,0.0,0.0,0.970097,0.989899,0.8917902,0.91222,0.0,0.0,0.0,0.0,0.934697,0.8876103,0.0,0.0,0.8972887
0.0,0.7666107,0.8758284,0.0,0.0,0.0,0.0,0.9252364,0.0,0.7698495,0.8749225,0.0,0.0,0.0,0.0,0.0,0.0,0.9292603,0.9333601,0.9333601,0.0,0.9274569,0.8360735,0.0,0.0,0.0,0.8729197,0.8917902,0.9893617,0.9678538,0.0,0.0,0.0,0.0,0.8358511,0.8037301,0.0,0.0,0.9841545
0.0,0.7606471,0.867516,0.0,0.0,0.0,0.0,0.9158615,0.0,0.7635207,0.8951562,0.0,0.0,0.0,0.0,0.0,0.0,0.9197989,0.9238105,0.9238105,0.0,0.9278986,0.8559783,0.0,0.0,0.0,0.8931339,0.91222,0.9678538,0.9891304,0.0,0.0,0.0,0.0,0.8556522,0.8117089,0.0,0.0,0.9735126
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656922,0.0,0.0,0.0,0.0,0.0,0.9383652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9864865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9315506,0.0092493,0.0231962,0.0068027,0.8344214,0.0079059,0.008749,0.0,0.007568,0.0,0.0,0.6308596,0.0070198,0.6056728,0.0,0.0,0.0066512,0.0,0.0,0.0,0.0,0.0,0.0,0.5099823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9965986,0.0,0.0,0.0,0.0,0.0,0.5280405,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8095319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8048128,0.0,0.0,0.0,0.0,0.0,0.0,0.9772727,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9857143,0.0,0.0,0.0,0.0,0.0
0.0067241,0.7448538,0.8552459,0.0,0.0,0.0072523,0.0076738,0.9051852,0.0070833,0.7565854,0.9263107,0.0,0.0,0.0,0.0,0.0,0.0,0.8899065,0.8939623,0.8939623,0.0,0.8980952,0.8652273,0.0,0.0,0.0,0.9154455,0.934697,0.8358511,0.8556522,0.0,0.0,0.0,0.0,0.99,0.8270253,0.0,0.0,0.8415789
0.0,0.7217411,0.813343,0.0,0.0,0.0,0.0,0.854782,0.0,0.7314758,0.8723117,0.0,0.0,0.0,0.0,0.0,0.0,0.8471549,0.8505493,0.8505493,0.0,0.8540084,0.9368527,0.0,0.0,0.0,0.8798095,0.8876103,0.8037301,0.8117089,0.0,0.0,0.0,0.0,0.8270253,0.9873418,0.0,0.0,0.7998668
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9830508,0.0,0.0
0.5567704,0.0,0.0,0.0,0.553462,0.0,0.0,0.0,0.0,0.0,0.0,0.2678492,0.0,0.1807565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0972075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5280405,0.0,0.0,0.0,0.0,0.0,0.9756098,0.0
0.0,0.7695906,0.8799827,0.0,0.0,0.0,0.0,0.929922,0.0,0.7730103,0.8802248,0.0,0.0,0.0,0.0,0.0,0.0,0.9339892,0.9381331,0.9381331,0.0,0.9323308,0.8427632,0.0,0.0,0.0,0.8783742,0.8972887,0.9841545,0.9735126,0.0,0.0,0.0,0.0,0.8415789,0.7998668,0.0,0.0,0.9894737
