公司,周杰伦,新专辑,唐山,女孩,豆瓣,男子,被罚,集团,两人,美元,3亿,旅游,10亿,a股,世茂,袁冰妍,离婚,开分,警方,违约,小树林,演员,美国,养父,董卿,台风,66万,美图,强制执行,偷漏税,2人,买房车,被害,b超,烤没,97万,报恩,冲卡,道歉,炒币
0.9981096,0.0,0.0,0.0,0.0031382,0.0,0.0072958,0.5382777,0.1639579,0.0,0.1546668,0.3369984,0.0078075,0.1486761,0.0,0.1486761,0.6283694,0.0,0.0,0.0,0.1598929,0.0,0.5711651,0.1675614,0.0032708,0.7056771,0.0169865,0.0032708,0.3049625,0.6490215,0.6093852,0.0,0.0032708,0.0,0.0,0.0,0.6360035,0.0035093,0.0,0.3243374,0.3067375
0.0,0.9960317,0.9920476,0.0,0.0,0.9880632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9541847,0.0,0.0,0.0,0.0060492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0757345,0.0
0.0,0.9920476,0.996,0.0,0.0,0.9919839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9578355,0.0,0.0,0.0,0.006065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0758298,0.0
0.0,0.0,0.0,0.995671,0.008715,0.0,0.0340704,0.0,0.0,0.9540292,0.0,0.0,0.0051231,0.0,0.0,0.0,0.00481,0.0,0.0,0.5248918,0.0,0.9913231,0.0,0.0,0.0044901,0.0,0.0,0.0044901,0.0,0.0,0.0,0.2635046,0.0044901,0.8715853,0.0,0.0,0.0,0.0047286,0.0,0.0128028,0.0
0.0031382,0.0,0.0,0.008715,0.995614,0.0,0.0195827,0.0087913,0.0,0.0089731,0.0,0.0,0.8551593,0.0,0.0,0.0,0.0,0.0105588,0.0,0.0,0.0,0.0043764,0.0,0.044386,0.9669727,0.0,0.0,0.9669727,0.0,0.0,0.0,0.0,0.9669727,0.0050665,0.0,0.0,0.0,0.9228745,0.011379,0.0,0.0
0.0,0.9880632,0.9919839,0.0,0.0,0.9959677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9615452,0.0,0.0,0.0,0.0060812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0759266,0.0
0.0072958,0.0,0.0,0.0340704,0.0195827,0.0,0.9945946,0.2158352,0.0,0.0449665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9262596,0.0,0.0662162,0.0,0.0293167,0.0,0.1135135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3979632,0.0,0.0223051,0.0,0.0,0.0,0.0,0.8802873,0.013341,0.0
0.5382777,0.0,0.0,0.0,0.0087913,0.0,0.2158352,0.9955947,0.0,0.0044962,0.0,0.0,0.0051612,0.0,0.0,0.0,0.8823625,0.2327188,0.0,0.010536,0.0,0.0,0.7082483,0.0444053,0.0,0.0133953,0.0,0.0,0.0,0.0154315,0.844873,0.3307157,0.0,0.0,0.0,0.0,0.8350403,0.0,0.2507625,0.2311369,0.0
0.1639579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9940828,0.0,0.9429549,0.042862,0.0059172,0.9522105,0.0,0.9583537,0.0,0.0,0.0,0.0,0.9017023,0.0,0.0,0.0229586,0.0,0.0261051,0.0076756,0.0,0.0,0.0412983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2719376,0.0
0.0,0.0,0.0,0.9540292,0.0089731,0.0,0.0449665,0.0044962,0.0,0.9954128,0.0,0.0,0.0,0.0,0.0,0.0,0.0049391,0.01076,0.0,0.3931957,0.0,0.9580746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1621792,0.0,0.8525783,0.0,0.0,0.0,0.0,0.0115802,0.0129319,0.0
0.1546668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9429549,0.0,0.99375,0.0628956,0.0,0.9780056,0.0,0.9780056,0.0,0.0,0.0,0.0,0.9245018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0185775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275266,0.018809
0.3369984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042862,0.0,0.0628956,0.9936709,0.0,0.0507942,0.0,0.0444449,0.0,0.0,0.0,0.0,0.0407265,0.0,0.0,0.0463291,0.0,0.0,0.0,0.0,0.9348062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0552114,0.9400724
0.0078075,0.0,0.0,0.0051231,0.8551593,0.0,0.0,0.0051612,0.0059172,0.0,0.0,0.0,0.9940828,0.0,0.0,0.0,0.0056041,0.0,0.0,0.0,0.0,0.0,0.0,0.0229586,0.8771708,0.0,0.0,0.8771708,0.0,0.0,0.0061032,0.0,0.8771708,0.0,0.0,0.0,0.0061433,0.9167653,0.0,0.0,0.0
0.1486761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9522105,0.0,0.9780056,0.0507942,0.0,0.9936306,0.0,0.9872611,0.0,0.0,0.0,0.0,0.9326825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2764602,0.0063294
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1486761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583537,0.0,0.9780056,0.0444449,0.0,0.9872611,0.0,0.9936306,0.0,0.0,0.0,0.0,0.9326825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2764602,0.0
0.6283694,0.0,0.0,0.00481,0.0,0.0,0.0,0.8823625,0.0,0.0049391,0.0,0.0,0.0056041,0.0,0.0,0.0,0.994709,0.0,0.0,0.0,0.0,0.0048289,0.7650019,0.0,0.0,0.0245397,0.0,0.0,0.0,0.0279334,0.9148448,0.0,0.0,0.0055191,0.0,0.0,0.9095137,0.0,0.0,0.2391084,0.0
0.0,0.0,0.0,0.0,0.0105588,0.0,0.9262596,0.2327188,0.0,0.01076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9938272,0.0,0.0114198,0.0,0.0,0.0,0.0461728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4133119,0.0,0.0,0.0,0.0,0.0,0.0,0.9347751,0.0,0.0
0.0,0.9541847,0.9578355,0.0,0.0,0.9615452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995671,0.0,0.0,0.0,0.0062295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064014,0.0
0.0,0.0,0.0,0.5248918,0.0,0.0,0.0662162,0.010536,0.0,0.3931957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114198,0.0,0.9833333,0.0,0.5153202,0.0,0.0283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4362319,0.0,0.325,0.0,0.0,0.0,0.0,0.0118298,0.0,0.0
0.1598929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9017023,0.0,0.9245018,0.0407265,0.0,0.9326825,0.0,0.9326825,0.0,0.0,0.0,0.0,0.9927536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2852297,0.0
0.0,0.0,0.0,0.9913231,0.0043764,0.0,0.0293167,0.0,0.0,0.9580746,0.0,0.0,0.0,0.0,0.0,0.0,0.0048289,0.0,0.0,0.5153202,0.0,0.9956332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2640339,0.0,0.8748557,0.0,0.0,0.0,0.0,0.0,0.0128217,0.0
0.5711651,0.0060492,0.006065,0.0,0.0,0.0060812,0.0,0.7082483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7650019,0.0,0.0062295,0.0,0.0,0.0,0.9918699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6632919,0.0,0.0,0.0,0.0,0.0,0.7539744,0.0,0.0,0.1617367,0.0
0.1675614,0.0,0.0,0.0,0.044386,0.0,0.1135135,0.0444053,0.0229586,0.0,0.0,0.0463291,0.0229586,0.0,0.0,0.0,0.0,0.0461728,0.0,0.0283333,0.0,0.0,0.0,0.96,0.0,0.1335747,0.0,0.0,0.046135,0.1376471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046993,0.0,0.0462893
0.0032708,0.0,0.0,0.0044901,0.9669727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8771708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9953488,0.0,0.0,0.9953488,0.0,0.0,0.0,0.0,0.9953488,0.0,0.0,0.0,0.0,0.9485987,0.0,0.0,0.0
0.7056771,0.0,0.0,0.0,0.0,0.0,0.0,0.0133953,0.0261051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0245397,0.0,0.0,0.0,0.0,0.0,0.0,0.1335747,0.0,0.9954751,0.0,0.0,0.0,0.8690045,0.0108142,0.0,0.0,0.0,0.0,0.0,0.0108943,0.0,0.0,0.0,0.0
0.0169865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.990566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0032708,0.0,0.0,0.0044901,0.9669727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8771708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9953488,0.0,0.0,0.9953488,0.0,0.0,0.0,0.0,0.9953488,0.0,0.0,0.0,0.0,0.9485987,0.0,0.0,0.0
0.3049625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0185775,0.9348062,0.0,0.0062522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046135,0.0,0.0,0.0,0.0,0.993865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9815179
0.6490215,0.0,0.0,0.0,0.0,0.0,0.0,0.0154315,0.0412983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0279334,0.0,0.0,0.0,0.0,0.0,0.0,0.1376471,0.0,0.8690045,0.0,0.0,0.0,0.9941176,0.0121717,0.0,0.0,0.0,0.0,0.0,0.0122518,0.0,0.0,0.0,0.0
0.6093852,0.0,0.0,0.0,0.0,0.0,0.0,0.844873,0.0,0.0,0.0,0.0,0.0061032,0.0,0.0,0.0,0.9148448,0.0,0.0,0.0,0.0,0.0,0.6632919,0.0,0.0,0.0108142,0.0,0.0,0.0,0.0121717,0.9937107,0.0,0.0,0.0,0.0,0.0,0.8418059,0.0,0.0,0.1929613,0.0
0.0,0.0,0.0,0.2635046,0.0,0.0,0.3979632,0.3307157,0.0,0.1621792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4133119,0.0,0.4362319,0.0,0.2640339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9855072,0.0,0.1517991,0.0,0.0,0.0,0.0,0.4297152,0.0,0.0
0.0032708,0.0,0.0,0.0044901,0.9669727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8771708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9953488,0.0,0.0,0.9953488,0.0,0.0,0.0,0.0,0.9953488,0.0,0.0,0.0,0.0,0.9485987,0.0,0.0,0.0
0.0,0.0,0.0,0.8715853,0.0050665,0.0,0.0223051,0.0,0.0,0.8525783,0.0,0.0,0.0,0.0,0.0,0.0,0.0055191,0.0,0.0,0.325,0.0,0.8748557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1517991,0.0,0.9942529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
