下架,用户,删除,武汉大学,谭谈交通,宣布,总统,电视台,霍乱病例,一例,德国,本地文件,全面,广播,目标,发布,美国,霍乱,取消,检测,传播,总理,破产,维权,节目,环保,谭乔,公务员,爆料,欧洲,武汉,版权,学历,赔偿
0.0,0.0,0.0,0.0,0.0,0.0085313,0.0,0.0,0.0,0.0,0.9767442,0.0,0.0190353,0.0,0.9186047,0.0,0.0324612,0.0,0.9883721,0.0,0.0,0.0124806,0.0,0.0,0.0,0.7452431,0.0,0.0,0.0122242,0.7303383,0.0,0.0,0.0,0.0
0.0,0.3327922,0.3333333,0.2738793,0.0058471,0.0,0.0,0.0,0.2647059,0.2132008,0.0,0.3423913,0.0086057,0.0,0.0,0.0243833,0.0153186,0.2911765,0.0,0.9901961,0.0732026,0.0,0.0129665,0.0,0.0,0.0,0.0,0.0,0.5656109,0.0,0.2288515,0.0,0.0,0.0
0.238961,0.0287157,0.0359477,0.2480171,0.2405272,0.0,0.0084291,0.1410959,0.1895425,0.1170579,0.0,0.0368357,0.0462963,0.1427399,0.0,0.1756272,0.0319444,0.3166667,0.0,0.0732026,0.9888889,0.0,0.0136201,0.2214092,0.1318552,0.0,0.1892954,0.0,0.0119658,0.0,0.0634921,0.1165312,0.0,0.0758547
0.0,0.0,0.0,0.0,0.0,0.6850362,0.6964368,0.0,0.0,0.0,0.0124806,0.0,0.0207407,0.0,0.0124806,0.0,0.0170833,0.0,0.0124806,0.0,0.0,0.9866667,0.6039785,0.0,0.0,0.0157576,0.0,0.0,0.0,0.0157576,0.0,0.0,0.0,0.0
0.0274403,0.0,0.0,0.0088684,0.0270291,0.582223,0.5797182,0.0310429,0.0090449,0.0,0.0,0.0,0.0,0.0218109,0.0138785,0.0225806,0.0554435,0.0,0.0,0.0129665,0.0136201,0.6039785,0.983871,0.0283242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141621,0.0,0.0
0.5241263,0.0077209,0.0077315,0.0,0.5352483,0.0,0.0,0.5363626,0.0,0.0,0.0,0.0079092,0.1078139,0.3307234,0.0,0.1584972,0.0,0.0,0.0,0.0,0.2214092,0.0,0.0283242,0.9878049,0.3312262,0.0151885,0.3109756,0.0334717,0.0125078,0.0,0.0132404,0.2560976,0.0365854,0.0942777
0.5556019,0.0,0.0,0.0,0.5587659,0.0,0.0,0.4259562,0.0,0.0,0.0,0.0,0.1077812,0.3936874,0.0,0.0859426,0.0,0.0,0.0,0.0,0.1318552,0.0,0.0,0.3312262,0.9908257,0.0,0.3817968,0.0152255,0.0,0.0,0.02346,0.3953345,0.0,0.0426076
0.0203463,0.0,0.0,0.0,0.0200722,0.0118083,0.0,0.011374,0.0,0.0,0.7452431,0.0,0.0255892,0.0,0.7452431,0.0,0.0195076,0.0,0.7452431,0.0,0.0,0.0157576,0.0,0.0151885,0.0,0.9818182,0.0,0.0,0.0,0.8545455,0.0162338,0.0,0.0,0.0
0.6237858,0.0,0.0,0.0,0.6430276,0.0,0.0,0.2292711,0.0,0.0,0.0,0.0,0.4524164,0.2002494,0.0,0.2760818,0.0,0.0,0.0,0.0,0.1892954,0.0,0.0,0.3109756,0.3817968,0.0,0.9939024,0.0,0.009459,0.0,0.0203833,0.2012195,0.0,0.5572233
0.0234411,0.0,0.0,0.0,0.023167,0.0,0.0,0.0129214,0.0,0.0,0.0,0.0,0.014342,0.0134792,0.0,0.2911462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0334717,0.0152255,0.0,0.0,0.9787234,0.0,0.0,0.0,0.0,0.9133368,0.0
0.0074925,0.5944888,0.595274,0.0,0.0073554,0.0,0.0,0.0086934,0.0,0.0,0.0,0.6084169,0.010114,0.0,0.0,0.0192721,0.0,0.0,0.0122242,0.5656109,0.0119658,0.0,0.0,0.0125078,0.0,0.0,0.009459,0.0,0.9871795,0.0,0.0,0.0,0.0,0.0160256
0.0,0.0,0.0,0.0,0.0,0.0472332,0.0358934,0.0,0.0,0.0,0.7452431,0.0,0.0127946,0.0,0.7452431,0.0123167,0.0975379,0.0,0.7303383,0.0,0.0,0.0157576,0.0,0.0,0.0,0.8545455,0.0,0.0,0.0,0.9818182,0.0,0.0,0.0,0.0
0.0164502,0.0,0.0,0.5085898,0.0161761,0.0,0.0,0.009426,0.519888,0.2225855,0.0,0.0,0.0108466,0.0,0.0,0.0207373,0.0,0.3494505,0.0,0.2288515,0.0634921,0.0,0.0,0.0132404,0.02346,0.0162338,0.0203833,0.0,0.0,0.0,0.9857143,0.0,0.0,0.0
0.5169465,0.0,0.0,0.0,0.542291,0.0,0.0,0.402272,0.0,0.0,0.0,0.0,0.2058266,0.3307234,0.0,0.0932337,0.0,0.0,0.0,0.0,0.1165312,0.0,0.0141621,0.2560976,0.3953345,0.0,0.2012195,0.0,0.0,0.0,0.0,0.9878049,0.0,0.1257036
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3238395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0365854,0.0,0.0,0.0,0.9133368,0.0,0.0,0.0,0.0,0.9756098,0.0
0.5027889,0.0,0.0,0.0,0.5174676,0.0,0.0,0.0356955,0.0,0.0,0.0,0.0,0.5327635,0.0249126,0.0,0.3467122,0.0,0.0,0.0,0.0,0.0758547,0.0,0.0,0.0942777,0.0426076,0.0,0.5572233,0.0,0.0160256,0.0,0.0,0.1257036,0.0,0.9807692
