公司,女孩,唐山,周杰伦,新专辑,两人,集团,男子,豆瓣,3亿,美元,旅游,10亿,离婚,世茂,违约,开分,小树林,袁冰妍,2人,养父,演员,台风,董卿,66万,美图,强制执行,买房车,被害,报恩,警方,冲卡,偷漏税
0.0032708,0.9669727,0.0044901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8771708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9953488,0.0,0.0,0.0,0.9953488,0.0,0.0,0.9953488,0.0,0.9485987,0.0,0.0,0.0
0.5711651,0.0,0.0,0.0060492,0.006065,0.0,0.0,0.0,0.0060812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062295,0.0,0.7650019,0.0,0.0,0.9918699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6632919
0.0169865,0.0,0.0,0.0,0.0,0.0,0.0076756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.990566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7056771,0.0,0.0,0.0,0.0,0.0,0.0261051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0245397,0.0,0.0,0.0,0.0,0.9954751,0.0,0.0,0.8690045,0.0,0.0,0.0,0.0,0.0,0.0108142
0.0032708,0.9669727,0.0044901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8771708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9953488,0.0,0.0,0.0,0.9953488,0.0,0.0,0.9953488,0.0,0.9485987,0.0,0.0,0.0
0.3049625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9348062,0.0185775,0.0,0.0062522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6490215,0.0,0.0,0.0,0.0,0.0,0.0412983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0279334,0.0,0.0,0.0,0.0,0.8690045,0.0,0.0,0.9941176,0.0,0.0,0.0,0.0,0.0,0.0121717
0.0032708,0.9669727,0.0044901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8771708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9953488,0.0,0.0,0.0,0.9953488,0.0,0.0,0.9953488,0.0,0.9485987,0.0,0.0,0.0
0.0,0.0050665,0.8715853,0.0,0.0,0.8525783,0.0,0.0223051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8748557,0.0055191,0.1517991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9942529,0.0,0.325,0.0,0.0
0.0035093,0.9228745,0.0047286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9167653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9485987,0.0,0.0,0.0,0.9485987,0.0,0.0,0.9485987,0.0,0.9948718,0.0,0.0,0.0
0.0,0.0,0.5248918,0.0,0.0,0.3931957,0.0,0.0662162,0.0,0.0,0.0,0.0,0.0,0.0114198,0.0,0.0,0.0,0.5153202,0.0,0.4362319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325,0.0,0.9833333,0.0118298,0.0
0.0,0.011379,0.0,0.0,0.0,0.0115802,0.0,0.8802873,0.0,0.0,0.0,0.0,0.0,0.9347751,0.0,0.0,0.0,0.0,0.0,0.4297152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118298,0.993007,0.0
0.6093852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061032,0.0,0.0,0.0,0.0,0.0,0.0,0.9148448,0.0,0.0,0.6632919,0.0,0.0108142,0.0,0.0,0.0121717,0.0,0.0,0.0,0.0,0.0,0.9937107
