孩子,统一,超生,唐山,茅台,全州,南京,警方,招聘,失去,周杰伦,子女,开启,预约,宣判,广西,市政府,北京,社会调剂,最伟大的作品,实验室,迪士尼,调剂,抱走,版权,一审,医学,检验,米老鼠,形象,全县,女大学生,扎伤,被害案,上报
0.9984026,0.7580613,0.8669587,0.0259084,0.0,0.7844356,0.0056625,0.024563,0.0,0.0034029,0.0028648,0.2847712,0.0031684,0.0037927,0.0062703,0.5012794,0.2538178,0.0156949,0.7730523,0.0031461,0.0042952,0.0,0.6830058,0.4001552,0.0,0.0057468,0.0043448,0.0044219,0.0,0.0,0.6564399,0.0057815,0.0094716,0.0057815,0.244238
0.7580613,0.9976798,0.7027202,0.0206655,0.0,0.722555,0.0031926,0.0123624,0.0,0.0,0.0,0.2253695,0.0,0.0,0.0034965,0.37529,0.1823451,0.0171404,0.8246235,0.0,0.0046566,0.0,0.2757525,0.2596874,0.0,0.0032348,0.0047062,0.0047833,0.0,0.0,0.7330479,0.0032521,0.0070372,0.0032521,0.1801258
0.8669587,0.7027202,0.9986979,0.0244316,0.0,0.9392825,0.0026836,0.0154893,0.0,0.0032552,0.0,0.6745735,0.0,0.0,0.0029875,0.4834346,0.6066627,0.0151042,0.7289178,0.0,0.0041475,0.0,0.6782873,0.7244747,0.0,0.0027257,0.0041971,0.0042742,0.0,0.0,0.6297105,0.0027431,0.0060191,0.0027431,0.6647211
0.0259084,0.0206655,0.0244316,0.9964158,0.0,0.0227564,0.0114739,0.8859828,0.0,0.0,0.0,0.0035589,0.0,0.0,0.0123857,0.0082139,0.0037226,0.0147513,0.0254172,0.0,0.0052886,0.0,0.0070089,0.0064578,0.0,0.0116004,0.0160146,0.0054153,0.0,0.0,0.0,0.0116525,0.8716271,0.0155367,0.0037376
0.0,0.0,0.0,0.0,0.9958333,0.0,0.0,0.0,0.9456019,0.0,0.0,0.0,0.008906,0.0,0.0,0.0,0.0,0.0104167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7844356,0.722555,0.9392825,0.0227564,0.0,0.9985272,0.0027689,0.0160013,0.0,0.0,0.0,0.6908726,0.0,0.0,0.0030728,0.2471465,0.6213828,0.0115841,0.7424965,0.0,0.0042329,0.0,0.5068821,0.6975839,0.0,0.0028111,0.0042825,0.0043596,0.0,0.0,0.6310968,0.0028284,0.0061897,0.0028284,0.686567
0.0056625,0.0031926,0.0026836,0.0114739,0.0,0.0027689,0.995935,0.0277412,0.0,0.0,0.0,0.0075986,0.0,0.0,0.9218524,0.0,0.0,0.0,0.0034176,0.0,0.0,0.0,0.0,0.0,0.0,0.9734086,0.0,0.0,0.0,0.0,0.0,0.9816478,0.0,0.9775232,0.0
0.024563,0.0123624,0.0154893,0.8859828,0.0,0.0160013,0.0277412,0.996139,0.0,0.0,0.0,0.0110919,0.0,0.0,0.0128009,0.0254719,0.0,0.0252775,0.0198933,0.0,0.027135,0.0,0.0182142,0.0168364,0.0,0.0120156,0.0383362,0.0277685,0.0,0.0,0.0,0.0120677,0.8963994,0.0160902,0.003876
0.0,0.0,0.0,0.0,0.9456019,0.0,0.0,0.0,0.9953704,0.0,0.0,0.0,0.009369,0.0,0.0,0.0,0.0,0.0054398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0034029,0.0,0.0032552,0.0,0.0,0.0,0.0,0.0,0.0,0.9947917,0.0,0.0,0.0,0.0,0.0,0.004919,0.0,0.0057292,0.0,0.0,0.0061007,0.9716346,0.0043165,0.0,0.9052083,0.0,0.0,0.0,0.9817299,0.728945,0.0,0.0,0.0,0.0,0.0
0.0028648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9958678,0.0,0.8960284,0.8298609,0.0,0.0,0.0,0.0051911,0.0,0.9356691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2847712,0.2253695,0.6745735,0.0035589,0.0,0.6908726,0.0075986,0.0110919,0.0,0.0,0.0,0.9964664,0.0,0.0,0.0082065,0.1877536,0.8466786,0.0,0.236387,0.0,0.0,0.0,0.184393,0.8457414,0.0,0.0076829,0.0,0.0,0.0,0.0,0.1855817,0.0077177,0.0,0.0077177,0.9503513
0.0031684,0.0,0.0,0.0,0.008906,0.0,0.0,0.0,0.009369,0.0,0.8960284,0.0,0.9952607,0.8689162,0.0,0.0,0.0,0.0,0.0,0.9528514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0037927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8298609,0.0,0.8689162,0.994012,0.0,0.0,0.0,0.0,0.0,0.8706531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0062703,0.0034965,0.0029875,0.0123857,0.0,0.0030728,0.9218524,0.0128009,0.0,0.0,0.0,0.0082065,0.0,0.0,0.9953271,0.0,0.0,0.0,0.0037215,0.0,0.0,0.0,0.0,0.0,0.0,0.9395723,0.0,0.0,0.0,0.0,0.0,0.9344132,0.0,0.9299847,0.0
0.5012794,0.37529,0.4834346,0.0082139,0.0,0.2471465,0.0,0.0254719,0.0,0.004919,0.0,0.1877536,0.0,0.0,0.0,0.9953704,0.1528314,0.0054398,0.2774892,0.0,0.0,0.0,0.4429858,0.2851213,0.0,0.0,0.0,0.0,0.0,0.0,0.2382898,0.0,0.0046733,0.0,0.1533722
0.2538178,0.1823451,0.6066627,0.0037226,0.0,0.6213828,0.0,0.0,0.0,0.0,0.0,0.8466786,0.0,0.0,0.0,0.1528314,0.996139,0.0,0.1856704,0.0,0.0,0.0,0.1675702,0.7711079,0.0,0.0,0.0,0.0,0.0,0.0,0.1489704,0.0,0.0,0.0,0.8837342
0.0156949,0.0171404,0.0151042,0.0147513,0.0104167,0.0115841,0.0,0.0252775,0.0054398,0.0057292,0.0051911,0.0,0.0,0.0,0.0,0.0054398,0.0,0.99375,0.0135301,0.0,0.907146,0.0056891,0.0048373,0.0,0.00625,0.0051997,0.9139406,0.9245018,0.0057428,0.0084441,0.0,0.0,0.0054835,0.0,0.0
