斯里兰卡,宣布,苹果,发射,卫星,终止,总统,总监,总理,轨道,北京,实施,地球,紧急状态,顺利,京东,快递,用户,被骗,预定,删除,美国,发布,天链,总部,祝贺,运载火箭,营销,合同,载人,拉贾帕克萨,关闭,禁止,抗议者,办公室,中继,大学,微信,审核
0.0047729,0.0,0.0,0.9556411,0.8219212,0.0,0.0,0.0,0.0,0.8139115,0.0715567,0.0,0.7565854,0.0,0.7596545,0.0,0.0,0.0,0.0,0.7730103,0.0,0.0,0.0,0.9939024,0.0,0.7533324,0.8107762,0.0,0.0,0.7919283,0.0,0.0,0.0,0.0,0.0,0.8061212,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85466,0.0,0.0,0.0,0.0,0.955763,0.980434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987013,0.0,0.0,0.0,0.0,0.0,0.0,0.0171318,0.0,0.0,0.0178571,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.7339861,0.6740374,0.0,0.0,0.0,0.0,0.7101637,0.0107159,0.0,0.6596512,0.0,0.7495155,0.0,0.0,0.0,0.0,0.7532436,0.0,0.0,0.0,0.7533324,0.0,0.9883721,0.7235927,0.0,0.0,0.7104536,0.0,0.0,0.0,0.0,0.0,0.7041093,0.0,0.0,0.0
0.0,0.0,0.0,0.8052686,0.9209821,0.0,0.0,0.0,0.0,0.9674628,0.0861737,0.0,0.8899065,0.0,0.9189544,0.0,0.0,0.0,0.0,0.9339892,0.0,0.0,0.0,0.8107762,0.0,0.7235927,0.9906542,0.0,0.0,0.9238457,0.0,0.0,0.0,0.0,0.0,0.9336721,0.0,0.0,0.0
0.0,0.0,0.0997024,0.0,0.0,0.0804376,0.0,0.1026547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0241071,0.0,0.0229076,0.0,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0,0.9642857,0.0,0.0,0.0,0.0,0.6904762,0.0,0.0,0.0,0.0,0.7417582,0.0
0.0096606,0.0,0.2003968,0.0,0.0,0.2037752,0.0,0.2015958,0.0,0.0,0.0128385,0.0,0.0129365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0210944,0.0,0.0,0.0,0.0,0.0,0.0,0.984127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.7716982,0.8958367,0.0,0.0,0.0,0.0,0.9292721,0.0788196,0.0,0.9154455,0.0,0.8736592,0.0,0.0,0.0,0.0,0.8783742,0.0,0.0,0.0,0.7919283,0.0,0.7104536,0.9238457,0.0,0.0,0.990099,0.0,0.0,0.0,0.0,0.0,0.9706815,0.0,0.0,0.0
0.609995,0.5099823,0.0,0.0,0.0113447,0.0,0.7694056,0.0,0.5424242,0.0,0.0,0.3509058,0.0,0.4904183,0.0124547,0.0,0.0,0.0,0.0,0.0,0.0,0.0612128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9855072,0.0178847,0.0,0.0972075,0.5583004,0.0,0.0,0.0,0.0
0.0123624,0.024678,0.0,0.0,0.0,0.0,0.0148756,0.0,0.0151838,0.0,0.0155403,0.0168883,0.0,0.013008,0.0,0.0168883,0.0172172,0.5804857,0.0,0.0,0.6703181,0.0237962,0.017305,0.0,0.0171318,0.0,0.0,0.0,0.0,0.0,0.0178847,0.9787234,0.0,0.0,0.0220019,0.0,0.0,0.0298691,0.6824568
0.0,0.0,0.01875,0.0,0.0,0.0,0.0,0.0193405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1954545,0.0,0.0,0.1729373,0.0,0.49,0.0,0.0,0.0,0.0,0.6904762,0.0,0.0,0.0,0.0,0.9666667,0.0,0.0280303,0.0,0.0,0.6820513,0.0
0.5567704,0.5280405,0.0,0.0,0.0,0.0,0.1807565,0.0,0.2678492,0.0,0.0,0.0922256,0.0,0.553462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0972075,0.0,0.0,0.9756098,0.2827051,0.0,0.0,0.0,0.0
0.523511,0.4833797,0.0,0.0,0.0,0.0,0.5460324,0.0,0.5568182,0.0,0.0162656,0.19375,0.0,0.494399,0.0,0.0176136,0.0179426,0.0,0.0,0.0,0.0,0.0245215,0.0180303,0.0,0.0178571,0.0,0.0,0.0,0.0,0.0,0.5583004,0.0220019,0.0280303,0.2827051,0.9772727,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.7778346,0.9131784,0.0,0.0,0.0,0.0,0.9389159,0.0780506,0.0,0.9263107,0.0,0.8653924,0.0,0.0,0.0,0.0,0.8802248,0.0,0.0,0.0,0.8061212,0.0,0.7041093,0.9336721,0.0,0.0,0.9706815,0.0,0.0,0.0,0.0,0.0,0.9902913,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0184155,0.0,0.0,0.0,0.0187218,0.0,0.0,0.0,0.7094595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.972973,0.0,0.0
0.0209549,0.0209314,0.0426282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0241327,0.0,0.0,0.0216004,0.0,0.0509615,0.0,0.0728438,0.0,0.0,0.0241813,0.0,0.5438462,0.0,0.0,0.0,0.0,0.7417582,0.0,0.0,0.0,0.0298691,0.6820513,0.0,0.0,0.0,0.0,0.9615385,0.0286647
0.0,0.0111346,0.0115173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015684,0.0,0.7242234,0.0,0.0,0.7336073,0.0,0.0644025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6824568,0.0,0.0,0.0,0.0,0.0,0.0286647,0.9811321
