女大学生,英国首相,4岁男童,马斯克,搜查,约翰逊,被压,选出,妇联,获赔,我不是药神,宣判,秋天,局长,生下,一审,判罚,主犯,判处死刑,先辈,双胞胎,调剂,诗人,抗日战争,被判,侵华,男友,突击,自述,洗钱,传言,侵权,车祸
0.0,0.018897,0.0,0.0,0.0,0.0180071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9655172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8292484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051844,0.0163784,0.5277778,0.0,0.0,0.0,0.4639668,0.0270833,0.4861111,0.3140783,0.0,0.0,0.0,0.0,0.0,0.9965278,0.0,0.4007228,0.0,0.0,0.0,0.0,0.0154373,0.1736111
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9772727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4210434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1823129,0.0,0.0,0.4732143,0.0,0.0,0.0,0.4336735,0.0061791,0.1095994,0.127149,0.0,0.0,0.0,0.2772646,0.0,0.4007228,0.0,0.9931973,0.0,0.3986549,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.9050373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99375,0.0,0.5253472,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3997326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5486842,0.0,0.0,0.0,0.3986549,0.0,0.9772727,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.5356551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5253472,0.0,0.9444444,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9848485,0.0,0.0
0.0,0.0,0.0035348,0.0032819,0.0,0.0,0.0035443,0.0,0.0,0.6767474,0.7827766,0.0,0.0,0.0034881,0.0033121,0.1739658,0.7308559,0.0,0.0,0.0,0.0036878,0.0,0.0,0.0,0.0154373,0.0,0.0,0.0,0.0,0.0,0.0,0.9972973,0.0
0.1715686,0.0,0.2631004,0.0,0.0,0.0,0.2631579,0.0,0.0,0.0,0.0,0.0,0.0,0.2628205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1736111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166667
