调剂,先行曲,清算,搜查,盖章,传言,职能部门,女大学生,一切正常,破产,移交,生育,郎朗,洗钱,抱走,粗暴,农药,袁冰妍,聘请,小树林,上报,依法追究,突击,下落不明,最伟大的作品,乐坛,践踏,云南省,迪士尼,哈根达斯,三生,杰伦,妨害,画家,尊严,新专辑
0.071875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5633333,0.0,0.0,0.0,0.0,0.0,0.9333333,0.041954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.643891,0.0,0.0,0.0113831,0.0,0.0,0.8614619,0.6286323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041954,0.9827586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.959885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5614973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9886364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4734375,0.0,0.0,0.0,0.0526455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6454508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4230228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996904,0.4321465,0.0,0.0,0.0,0.0,0.0,0.3804825,0.0,0.3648828,0.0,0.5244041
0.0,0.2732558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4321465,0.9166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.312751
0.0,0.0,0.0,0.0,0.5213033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0455466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9236842,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.8765329,0.0,0.0,0.0,0.9115613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9782609,0.0,0.0,0.0822981,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9880952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9658043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9830508,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0842491,0.0,0.0,0.0,0.0827922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0822981,0.0,0.0,0.8571429,0.0,0.0,0.0,0.0,0.0
0.0,0.1729651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1325758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3804825,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333,0.0,0.0,0.0,0.1907631
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888889,0.0,0.0,0.0
0.0,0.2259136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2337662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3648828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571429,0.0,0.0
0.0,0.0,0.0,0.0,0.5252646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0442308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9236842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
0.0,0.2755207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0969332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5244041,0.312751,0.0,0.0,0.0,0.0,0.0,0.1907631,0.0,0.0,0.0,0.9939759
