马斯克,终止,中枪,推特,动荡,枪击,收购,枪声,强制执行,安保,自卫队,体征,伤势,失血过多,开枪,中弹,英国首相,服役,前一晚,特警,鬼子,借鉴
0.9955357,0.9866071,0.0,0.9820617,0.0,0.0,0.964033,0.0,0.5626633,0.0,0.0,0.0,0.0,0.0476867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9866071,0.9955357,0.0,0.9865666,0.0056804,0.0,0.964033,0.0,0.5626633,0.0,0.0,0.0,0.0,0.0476867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9935065,0.0,0.0133901,0.2100367,0.0,0.4495504,0.0,0.0735931,0.0633117,0.3787879,0.2556818,0.0487013,0.1463203,0.0898268,0.0310245,0.0270563,0.0,0.0,0.0,0.0
0.9820617,0.9865666,0.0,0.9954545,0.0,0.0,0.9586621,0.0,0.5642461,0.0,0.0,0.0,0.0,0.0477273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0056804,0.0133901,0.0,0.9931034,0.0858157,0.0,0.022679,0.0,0.0376026,0.0426108,0.0545156,0.0742611,0.0489028,0.0735632,0.0,0.0312261,0.0,0.0261755,0.0312261,0.1068966,0.0
0.0,0.0,0.2100367,0.0,0.0858157,0.9973615,0.0,0.3288005,0.0,0.2908657,0.3835281,0.1005151,0.5226395,0.233869,0.1386104,0.3009015,0.1163882,0.4523181,0.0961861,0.4946497,0.0,0.0
0.964033,0.964033,0.0,0.9586621,0.0,0.0,0.995283,0.0,0.5675909,0.0,0.0,0.0,0.0,0.047813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.4495504,0.0,0.022679,0.3288005,0.0,0.9615385,0.0,0.0251832,0.0370879,0.0430403,0.4223901,0.0,0.1051282,0.0,0.0,0.0,0.0,0.0470085,0.0,0.0
0.5626633,0.5626633,0.0,0.5642461,0.0,0.0,0.5675909,0.0,0.9756098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0735931,0.0,0.0376026,0.2908657,0.0,0.0251832,0.0,0.9880952,0.0,0.0297619,0.0,0.0,0.0785714,0.0952381,0.0,0.0,0.0286797,0.1349206,0.0,0.0
0.0,0.0,0.0633117,0.0,0.0426108,0.3835281,0.0,0.0370879,0.0,0.0,0.9642857,0.0416667,0.5089286,0.0,0.102381,0.0,0.0,0.8333333,0.0,0.0,0.0,0.0
0.0,0.0,0.3787879,0.0,0.0545156,0.1005151,0.0,0.0430403,0.0,0.0297619,0.0416667,0.952381,0.0,0.0,0.0,0.0,0.1031746,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.2556818,0.0,0.0742611,0.5226395,0.0,0.4223901,0.0,0.0,0.5089286,0.0,0.9821429,0.0,0.0,0.0,0.0734127,0.5892857,0.0316558,0.0,0.0,0.0
0.0476867,0.0476867,0.0487013,0.0477273,0.0489028,0.233869,0.047813,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1463203,0.0,0.0735632,0.1386104,0.0,0.1051282,0.0,0.0785714,0.102381,0.0,0.0,0.0,0.9333333,0.075,0.0,0.0,0.0,0.1222222,0.0,0.0
0.0,0.0,0.0898268,0.0,0.0,0.3009015,0.0,0.0,0.0,0.0952381,0.0,0.0,0.0,0.0,0.075,0.9166667,0.0,0.0,0.0643939,0.0,0.0,0.0
0.0,0.0,0.0310245,0.0,0.0312261,0.1163882,0.0,0.0,0.0,0.0,0.0,0.1031746,0.0734127,0.0,0.0,0.0,0.9444444,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0270563,0.0,0.0,0.4523181,0.0,0.0,0.0,0.0,0.8333333,0.0,0.5892857,0.0,0.0,0.0,0.0,0.952381,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0261755,0.0961861,0.0,0.0,0.0,0.0286797,0.0,0.0,0.0316558,0.0,0.0,0.0643939,0.0,0.0,0.9545455,0.0505051,0.0,0.0
0.0,0.0,0.0,0.0,0.0312261,0.4946497,0.0,0.0470085,0.0,0.1349206,0.0,0.0,0.0,0.0,0.1222222,0.0,0.0,0.0,0.0505051,0.9444444,0.0,0.0
0.0,0.0,0.0,0.0,0.1068966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
