8,7,0,0,10,32
2,2,0,0,2,12
197,155,0,8,220,313
1247,805,5,7,1392,1830
1499,436,7,6,1691,2270
1717,81,9,38,1983,2752
1889,451,11,19,2195,3081
1892,451,11,19,2200,3090
1026,283,19,35,10410,3771
199,796,51,2,3527,5107
